objet_mission,nombre_employés,destination,durée_mission,cout_mission,successeful
"Client meeting",10,"New York",2,600000,1
"Product launch",50,"San Francisco",4,2400000,1
"Team building",20,"Las Vegas",3,1200000,1
"Conference",100,"Paris",5,3600000,0
"Sales trip",5,"London",1,120000,0
"Product demo",15,"Tokyo",2,800000,1
"Industry conference",75,"Hong Kong",4,3000000,0
"Training session",30,"Dubai",3,1500000,1
"Partner meeting",20,"Singapore",2,600000,1
"Site visit",5,"Sydney",1,100000,0
"Product training",20,"Chicago",3,800000,1
"Networking event",50,"Los Angeles",1,200000,1
"Client workshop",15,"Toronto",2,500000,1
"Trade show",100,"Shanghai",4,3000000,0
"Team retreat",25,"Bali",5,2000000,1
"Partner conference",75,"Barcelona",3,2500000,1
"Sales training",30,"Munich",2,600000,1
"Product showcase",10,"Seoul",1,400000,0
"Executive retreat",8,"Maldives",5,5000000,1
"Industry summit",200,"New Delhi",3,5000000,0
"Product launch",75,"New York",5,5000000,1
"Team building",30,"Las Vegas",2,1000000,1
"Customer conference",150,"Orlando",3,4000000,1
"Sales meeting",10,"London",1,200000,0
"Trade show",50,"Tokyo",4,3000000,1
"Partner summit",75,"Berlin",3,2500000,1
"Industry conference",200,"Hong Kong",5,5000000,0
"Training session",20,"Dubai",2,800000,1
"Product demo",5,"San Francisco",1,400000,0
"Corporate retreat",25,"Hawaii",4,2000000,1
"Product launch",100,"Paris",3,4000000,1
"Team building",15,"Las Vegas",1,500000,1
"Customer summit",200,"New York",4,6000000,1
"Sales training",5,"London",1,100000,0
"Trade show",75,"Shanghai",5,7000000,1
"Partner conference",100,"Las Vegas",3,3500000,1
"Industry conference",250,"Singapore",5,8000000,0
"Training workshop",10,"Dubai",2,600000,1
"Product demo",3,"San Francisco",1,200000,0
"Corporate retreat",20,"Bali",4,1500000,1
"Customer visit",8,"Chicago",3,500000,1
"Trade show",25,"Las Vegas",4,2000000,1
"Executive meeting",12,"Toronto",2,800000,1
"Training workshop",18,"New Orleans",3,900000,1
"Supplier negotiation",5,"Shanghai",2,700000,0
"Team offsite",15,"Maui",5,1500000,1
"Product testing",10,"Berlin",2,600000,1
"Industry panel",6,"Seoul",1,200000,0
"Marketing campaign launch",30,"Tokyo",4,3000000,1
"Partner conference",50,"Sydney",3,2500000,0
"New client pitch", 4, "Seattle", 2, 300000, 1
"Company retreat", 30, "Cancun", 4, 2000000, 1
"Annual conference", 100, "Las Vegas", 5, 3500000, 0
"Supplier visit", 2, "Guadalajara", 1, 150000, 1
"Product training", 15, "Barcelona", 3, 900000, 1
"Industry expo", 50, "New York", 4, 3000000, 1
"Team building", 10, "Whistler", 2, 500000, 1
"Sales presentation", 3, "Melbourne", 1, 200000, 0
"Partner meeting", 8, "Paris", 2, 400000, 1
"Client site visit", 6, "Tokyo", 3, 700000, 0
"Product launch",50,"New York",2,2000000,1
"Team building",10,"Las Vegas",1,500000,1
"Customer conference",300,"Orlando",5,8000000,1
"Sales meeting",8,"London",1,150000,0
"Trade show",100,"Tokyo",4,4000000,1
"Partner summit",150,"Berlin",3,5000000,1
"Industry conference",400,"Hong Kong",5,10000000,0
"Training session",25,"Dubai",3,1200000,1
"Product demo",2,"San Francisco",1,100000,0
"Corporate retreat",30,"Hawaii",4,2500000,1
"Vendor negotiation", 2, "Mumbai", 1, 200000, 1
"Product launch", 40, "San Diego", 3, 1500000, 1
"Trade show", 20, "Chicago", 2, 800000, 1
"Client meeting", 5, "Dubai", 1, 50000, 0
"Team offsite", 12, "Aspen", 4, 1200000, 1
"Supplier conference", 30, "Singapore", 3, 2500000, 0
"Training session", 8, "Bali", 2, 400000, 1
"Industry panel", 4, "Paris", 1, 150000, 0
"Sales trip", 3, "London", 1, 400000, 1
"Product demo", 10, "Tokyo", 2, 600000, 1"
